Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean(background)
1,,0.109060381004269,0.0906636589242854,0.0796646497211495,0.0831144823164545,0.0878747335753531,0.0840123912776609,0.0990100305340465,0.0789571870582201,0.0912569067859051,0.114578103256718,0.107563974610535,0.0736478583692658,0.0616553086545145,0.0521455731416905,0.0535594019905249,0.0826553696326969,0.0666665038188858,0.0853486930232044,0.116111557875085,0.0703763775362127,0.0892805036314159,0.108148784262054,0.0919698036291477,0.083138959849167,0.0707223814361939,0.0773585819336744,0.0640820798314893,0.098549263400831,0.0895266571360159,0.106351484878765,0.0826397221003563,0.0744096884345515,0.0648842948614035,0.0486313366776923,0.0556852875306152
2,,0.0650148402460861,0.0608542700649419,0.051286385443717,0.0517004379506987,0.0536825494597323,0.0501425660211209,0.0598758760149836,0.048628506076427,0.0518375640879345,0.0791942672473597,0.0654921597959646,0.0508184435637916,0.0362218751194126,0.0311316762725222,0.0313935255893732,0.0518380191462172,0.0431251765422023,0.0580755454591946,0.0728691348958156,0.0460886703093998,0.055196587610728,0.065964594385193,0.0594850535257456,0.0470940209875516,0.0495375193555412,0.0532056497403913,0.0424368363436157,0.0641777107999277,0.0561698174736399,0.0650308500976692,0.0502881252373151,0.0491918978523262,0.0428678138725047,0.0365647050448831,0.0388297118668161
3,,0.0383266798374409,0.0311594181734982,0.0286159161912812,0.0306718832418816,0.0306288335153944,0.031523219618562,0.0337125882583898,0.0260239416979597,0.0271729291548977,0.0445534506718185,0.0342187523370892,0.0314005505841332,0.0221146311385408,0.019511511324163,0.0252417058322305,0.0301679059171167,0.022214669367393,0.0312421783075156,0.0431281534003787,0.0245268647048169,0.0316066458510635,0.0398140254090557,0.0326107616214941,0.0313570325832452,0.0301394849911241,0.0300156171732421,0.026518108481703,0.0365283427734343,0.0273475508457533,0.0378389718838353,0.0326850733771509,0.0274257054620584,0.0261670293451576,0.0188322637577106,0.0235259019038131
4,,0.0208677227714815,0.0179748536433058,0.0185835564936213,0.0162297019934188,0.0165851556858888,0.0157579357148045,0.0202052209004345,0.0138371633191208,0.0142788863459826,0.0288821061373123,0.0170937042433022,0.0159350206596098,0.0109453556204372,0.00717468379679663,0.00929200718228061,0.0159335054828739,0.0112319593920501,0.0185336263466334,0.0239874837394306,0.0144756714020286,0.0171744526454301,0.0232667766429753,0.0187276163973996,0.0117596303524645,0.0178787538803927,0.0169117223026264,0.0131504111740711,0.0231581624284792,0.015005916282944,0.0204379443794443,0.016580634077423,0.0149421031853138,0.0139745392546984,0.0134921277230929,0.0112996169262328
5,,0.0119781283300858,0.00618855449224229,0.00975051063843804,0.00947706841624534,0.00893788649382247,0.00708901595378196,0.0107186525614041,0.00985600549288928,0.00344020668232835,0.013529150218419,0.00693333365478455,0.00854363537716827,0.0217381536229904,0.0255373233697907,0.00438497829356818,0.0100535294180536,0.00614635101190156,0.00883635555474963,0.0115146870338999,0.00924988568408723,0.00854795269329181,0.0115111288803524,0.00955569194460257,0.00743586880380345,0.00913241437921729,0.0107238008221413,0.00631069473914067,0.0105761939224894,0.00110795768590255,0.0109952996636746,0.00872582012101544,0.0051976892337069,0.00720541636046105,0.0107677596735761,0.00653018880888466
6,,0.00560245563547667,0.000192808908962047,0.00533205944664322,0.00436603763771236,0.00556116168307211,0.0052141841983408,0.00238387415925477,0.00793931342368873,-0.00115565737985041,0.00609906854430319,0.00387565428110083,0.00260522142896736,0.0078106430118965,0.00942640627266008,0.00637667943749754,0.00677326609413231,0.00110810577267281,0.000249680570656758,0.00398024288452262,0.0031532590249033,0.00322675768089003,0.00579232952254903,0.00366925129616489,0.00594784434643112,0.0028538892665634,0.000520199286478731,-0.00167325401533546,0.00324112071672239,-0.00261050599072697,0.00594552818639908,0.0041918959189683,0.000133849526285844,0.00517346316408135,0.00665715863398743,0.00608733669354551
7,,-0.00153045312281967,-0.00810185724430551,0.00332400500062737,0.00107426691600857,-0.00103419516439136,0.000250162291698244,-0.00253113887877027,0.00124509876689739,-0.00590796742438746,-0.000368073463272121,-0.00377490097698796,-0.00048499400278789,-0.00134878857758749,-0.000842648264102452,0.00638472418675497,-0.000656024916333159,-0.00184722640417145,-0.00279146609616094,-0.00244362460523049,-0.00214298140333499,-0.0031962459641716,-0.00027557669189522,-0.00353925516027479,-0.00256565930390923,-0.00115400267312677,-0.00248572354574406,-0.00337408673936579,-0.00587200846422816,-0.00498288570906923,-0.00330406500208489,-0.000979517352318129,-0.00424132730987581,0.000866976404904974,-0.000117561468332588,-0.00075249936705971
8,,-0.00786716767920258,-0.0145203188325392,-0.0034697352300755,-0.00301122836006639,-0.00348690290841172,-0.000634067379985054,-0.00404078131913412,-0.00375641528442132,-0.00975065107681541,-0.00834401247731866,-0.00528076192269465,-0.00528458353888797,-0.00372025671003543,-0.00684932494769838,-0.00318030390810155,-0.00230444147297293,-0.00233420754424682,-0.00584738898412175,-0.00594217422254605,-0.00551851689844946,-0.00295402708318559,-0.0052006408944444,-0.00512638045879844,-0.00644119117775645,-0.00642551190299806,-0.00234483090820483,-0.00638403399934676,-0.00938802026989467,-0.00336768157187305,-0.00621258121415634,-0.00267330563334187,-0.00483610671031379,-0.00293473418926579,-0.00498760351782187,-0.00365957087050454
9,,-0.0130766968357334,-0.0196393513012341,-0.00693103596655899,-0.00940571540391692,-0.00619586173644142,-0.00717633057511391,-0.00874828719229449,-0.00738001554450446,-0.0134113318376481,-0.00771472740566056,-0.0103976755327024,-0.00686455186103481,-0.00654130720511328,-0.00562514256565895,-0.00423237833876525,-0.00739826427809532,-0.00411952102102947,-0.00826993791833297,-0.0105008008185695,-0.00742989694344553,-0.00474342284641453,-0.00900287456037259,-0.00765578869131669,-0.00562399942786769,-0.00892311457190291,-0.00900244782166709,-0.00465271609415202,-0.0149650522111486,-0.00701041158826325,-0.00915038800278144,-0.00636514960456139,-0.00690237145194745,-0.00397769271380493,-0.00502380353929377,-0.00638875848735183
10,,-0.0147793306516605,-0.0198210824882219,-0.00872811171200514,-0.0124053048650701,-0.0111478563688924,-0.0110602190849941,-0.0113811386564163,-0.0115566756658032,-0.0122177521069005,-0.0146899842951943,-0.0130269520644837,-0.0103957104699786,-0.0111733829981609,-0.00998262028339526,-0.00681036293135433,-0.0110881740212239,-0.00507310365883527,-0.011378141080254,-0.0140053870836449,-0.00889397838651527,-0.00866591721947475,-0.0129984457594112,-0.0108874332965528,-0.0117895477424279,-0.0132568011687013,-0.0121726920898395,-0.00992020574853045,-0.0174639206639217,-0.0091724975569118,-0.0129933496863351,-0.0113368564167335,-0.00703553411019306,-0.00603671349344299,-0.0111113561011555,-0.0104313444247925
11,,-0.0140134258922946,-0.00691299479861103,-0.00832962594064835,-0.0139008170334353,-0.0119954257438076,-0.00953242912320895,-0.0160529010031891,-0.0124149766198088,-0.00168553360216753,-0.0196331759810829,-0.0148913378770011,-0.0109639182788834,-0.011374110154898,-0.0103885976627819,-0.00526845265701712,-0.00899705074794901,-0.00876558241122971,-0.0117059728340927,-0.0156411104663346,-0.0111302493750021,-0.0109788202570643,-0.0154820566146408,-0.0141800267190438,-0.00968560586316451,-0.0106703809498864,-0.0155896184163597,-0.00758311779181171,-0.0227513404490015,-0.0104428478549599,-0.014760484405558,-0.012545289333104,-0.0116220177876663,-0.00677010794869132,-0.00702480402688023,-0.0103216716526045
12,,-0.0184572032664421,-0.00860746817665692,-0.0116191116874463,-0.0121875849281301,-0.0128185213309817,-0.0102599789971342,-0.0123755597212836,-0.0148751828287774,-0.00298128553188262,-0.0147809041864893,-0.01480676857561,-0.0129151754766326,-0.0123590755746872,-0.00908200821912837,-0.000369379131459094,-0.0126902903052069,-0.00792021780455162,-0.0114153946886447,-0.0166578901093846,-0.012429591127819,-0.0132526537822651,-0.0165049365027619,-0.014283891776656,-0.010261807766011,-0.0118945150862785,-0.012114080112929,-0.00979170907093448,-0.0209058143890825,-0.0130002946608324,-0.0155535172558216,-0.0126261346986865,-0.00795897469046939,-0.00877533618944884,-0.0116296745904126,-0.0105334381842684
13,,-0.0170033610164901,-0.020350334716994,-0.0156664052660737,-0.0179776090379193,-0.0153421504276495,-0.0123642527347768,-0.0176411235696579,-0.0160337670202481,-0.00822505327790943,-0.0190267053802888,-0.0161838920658581,-0.0128852662808506,-0.0129006820864787,-0.00918355064277407,-0.0103440637357237,-0.0149894476802816,-0.00802836482647273,-0.0149111606000428,-0.0193692192267439,-0.0122883116719821,-0.0155343495932408,-0.0187795208282663,-0.0157779457105489,-0.0053556336572043,-0.0127335907426468,-0.0153900338401406,-0.0111376462092235,-0.0245969372322795,-0.012815227573302,-0.0175517432121401,-0.0137156357287359,-0.012295079435098,-0.0151675686838855,-0.0109064336019838,-0.00850077669647981
14,,-0.0199867691227628,-0.0167994480882203,-0.0123339657718543,-0.0130127379632458,-0.0149715567546776,-0.0129183536823829,-0.0183422251903566,-0.0117855509870153,-0.0102772564582539,-0.0167673404484063,-0.0155440659704778,-0.0120055879879076,-0.0127689108070663,-0.0113146914905583,-0.00876997446435688,-0.0139620414587784,-0.00942831133807758,-0.0121010489163544,-0.0197994864998438,-0.00872450224515003,-0.0131979806565694,-0.0176900427504347,-0.0170712498815643,-0.0172445478304599,-0.0102162855890788,-0.013053391017114,-0.0085191986055575,-0.0163996755537605,-0.00937436452796803,-0.0164741733324978,-0.0134111559411958,-0.0113949716585993,-0.010847719446898,-0.00978537209786884,-0.00848948248145774
15,,-0.019590813699562,-0.0224595233559121,-0.0202294097812338,-0.0163245400243257,-0.0161679433946553,-0.0199027317133535,-0.0201164670818969,-0.0161958222913294,-0.0125943977497569,-0.0281171172130338,-0.0207897170359439,-0.0147692110603523,-0.00690724633748653,-0.00358910158244438,-0.0122795410209541,-0.0177642927881304,-0.0137159892616753,-0.0179521820446474,-0.0238136490999696,-0.0144304456946101,-0.0207383360684765,-0.0219391460002069,-0.0164048847639647,-0.0102497133281127,-0.0176596028307466,-0.0144036254538271,-0.0105442232024003,-0.017719939224447,-0.0178713484295816,-0.0209239634867952,-0.0152856782137542,-0.0135786597707233,-0.0134181119735382,-0.0111354050664689,-0.012040027024976
16,,-0.0242898076729521,-0.0168508212870578,-0.0207607463069992,-0.0189258511998203,-0.0203458558051663,-0.0188281400457721,-0.0203454620865547,-0.0153853239424006,-0.0175604766489972,-0.0254180244797582,-0.0216979423617973,-0.0170046390735065,-0.0128986076016013,-0.0128940800401615,-0.0157007941079255,-0.0193300982418451,-0.0159544124869007,-0.0181385753088142,-0.0254397971103504,-0.014632928979665,-0.0184567007366221,-0.0254944647432252,-0.0190131451248508,-0.0206810842962668,-0.0175214508847158,-0.0198636549482054,-0.0161482517742922,-0.0189054041723818,-0.0193436193724352,-0.0230963637644061,-0.0226075640509798,-0.0159187743129067,-0.0155847178309375,-0.0127869361159995,-0.0141559090445063
