Time,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48
1,0.0271733595287455,0.0261871999250212,0.0281662149637086,0.0237746883741059,0.0397067678680912,0.0354402286319614,0.0296962685114309,0.0294144523317304,0.0322435114908976,0.0296198313246905,0.0336724601015761,0.0297794965737159,0.0371380207445781,0.0359572166186256,0.0347889196515526,0.0456097749456088,0.0293453213743895,0.029016959102307,0.0312795538310603,0.0295022052694873,0.0421795423229892,0.0402623304926084,0.0447609328532341,0.0332976884130868,0.0354872721535738,0.0397991374969601,0.0359840943169024,0.0387309975756068,0.0307547638412552,0.0305168203329908,0.0303922384215636,0.0342386228288905,0.0361365851246412,0.031498960437862,0.0439827201882493,0.036485989383325,0.0352805967560066,0.0333548574347021,0.0420681027292859,0.0332683476282981,0.0360190061582866,0.0330013044193592,0.0314447953533416,0.0473454506978518,0.042544604652369,0.0276987128520738,0.0323257230554629,0.0242340714715872
2,0.0157840499289811,0.0182377424563227,0.0158691075627563,0.0177992531698592,0.0252259433193501,0.0251150714799825,0.0160313486840884,0.0144067495960498,0.0218318206747696,0.0197081005637169,0.0224808601887761,0.0215075649637016,0.024186860252434,0.023563221853367,0.0240121084049618,0.0343303056602426,0.0230732610591538,0.0217043109199683,0.0200167426990594,0.0201974779033184,0.0261859998594266,0.0260233275115029,0.0266777890308474,0.0241814434607924,0.0249522172324876,0.0299645780787519,0.0234954358541805,0.0257780732295374,0.0186401700214044,0.0175208808688554,0.0205729338225995,0.02799413896815,0.0246233154013676,0.0209439795423774,0.0281239922177058,0.0258644420967325,0.0279078844652615,0.0227353008011915,0.0365750194127289,0.0231300541508766,0.0244384629780585,0.0185813779677223,0.017908897882767,0.0383979068294619,0.0276979979772309,0.0197418647615654,0.025785180523516,0.0201208728169461
3,0.014831290375924,0.0160139392416064,0.0110712658880141,0.0185039971889647,0.0215555199469706,0.016772084544434,0.0137397161664596,0.0148045182215657,0.017320382852998,0.0149798532174068,0.0168619179662206,0.0187285433204422,0.0164979607602558,0.0152833447949095,0.0157909645990435,0.0248267211964856,0.0162192570033293,0.0131011954113343,0.0144190077194027,0.0140270606349883,0.01907775876451,0.0184240981327972,0.0195595904416932,0.0173744459881353,0.0167276326214268,0.0200843473319762,0.0137279483408439,0.0143200382825308,0.0172467073519849,0.0186610381827561,0.01935153158551,0.0177758926505747,0.0162170626327642,0.0183031647144092,0.0199465587446267,0.0207648001273287,0.0199171654089687,0.0129707084729212,0.030477984527336,0.0169441246538956,0.0207206313280069,0.0165149710618803,0.0139927781106546,0.03608654360284,0.0211337231918259,0.0122473411778448,0.0186794059209069,0.02153954550107
4,0.0107902757198538,0.00718688893338382,-0.000346471704517479,0.0136303448878266,0.0131555460599329,0.0131083191034092,0.00598423759985438,0.00430127640726771,0.00949171133874713,0.00882382002035116,0.0106690475430088,0.0094904674672636,0.0104904399986368,0.00999007619724703,0.0120277649695739,0.0151076528003994,0.00746585323863824,0.00749230147678383,0.00726400812134541,0.00527063294650933,0.00945864643706048,0.0085408545609387,0.0135833947624998,0.0109372299746362,0.0067529529621005,0.00995292427807918,0.00639435273238279,0.00336308358102017,0.010668046858263,0.0113936940030969,0.0116672765663402,0.00857518658474935,0.0109013439702649,0.00914723618860056,0.0122209661243396,0.0111745498632111,0.0137262555295343,0.00982983960419646,0.0257254608725662,0.00970248645573732,0.0121461727477078,0.00355500601111022,0.00641926119401671,0.0234408185718548,0.0100230803143072,0.00604245963937475,0.0118461539237957,0.0141891071645351
5,0.0048984982538217,0.00303749366301284,-0.00527797759013976,0.00870706272618811,0.00893729830361609,0.00826662464032548,0.00442465435869039,0.00563433882791566,0.00687330821081685,0.0063614067415289,0.00872509718594669,0.00711310129588162,0.00914533701418942,0.00690018444674151,0.00643672552007637,0.0128190648294556,0.00520273869190371,0.00708744898225986,0.00784482573577597,0.00656363815658382,0.00447226835555183,0.00766630637545629,0.00850878032801241,0.00807708358645757,0.00831338253715499,0.00769980540208086,0.00371308165029042,0.00483291896780808,0.00316989058948213,0.0080195699196838,0.00737794272585243,0.00669005938150691,0.00900581638518765,0.00660576235729563,0.009890884863863,0.00705748222230706,0.0091074681238616,0.0088848790562993,0.0176512035891978,0.00643938683391653,0.00871303991770526,0.00523957685826412,0.00404371706799058,0.0163320925593108,0.0117249293327455,0.00711310586562065,0.00819233232415858,0.00688627529391049
6,0.00507371840151044,0.00463079328428465,-0.00558751576270365,0.0060469022033673,0.00494731070727321,0.00807165707805365,0.00432916967045585,0.000517099213170559,0.00210533765016023,0.00560612871903292,0.00595728215374893,0.00381301309451109,0.00711859400383986,0.00591899319449196,0.00711492853022249,0.012692746662228,0.0049198493735618,0.00562829311657978,0.00126222610556309,0.00401854562282957,0.00159007109567261,0.00106898656846822,0.00486810939700951,0.00477923669560285,0.00453731538868052,0.000544630593167813,0.00391258098675568,0.0021187343047053,0.0030182211832869,0.00993837125283353,0.00718559591686199,0.00214861657369571,0.00247036692881266,0.00442853884708986,0.00383976128627579,0.0015842995990934,0.00511752970769358,0.00736394255539824,0.00929654022029857,0.00378702778302493,0.00278460566492036,0.00199397035941438,0.00275010393005556,0.0155513654249851,0.00205680609942687,0.00719827090634463,0.00376131662736124,0.00719095667573573
7,0.00119697263389836,-0.00368503789411804,-0.0107511752777489,0.00284081321504215,0.00172427724844236,0.00478970311314459,0.00533706360182038,0.00380675325122102,0.00518373051678089,0.00507846873071399,0.00892874912811515,0.00191329126806428,0.00446474216966015,0.00837197132511603,0.0058329594256779,0.00571552554301939,0.00226068978114878,0.0046583340151162,0.00243227898101021,0.0035438981406504,0.000202019041068264,-0.000365951716449364,-0.00267941359438546,0.00331520397975411,0.00145094087006451,0.00508892778563713,-0.000995102690288486,0.00484127030523305,0.00275279972244504,0.00982713639294079,0.00914753336856498,0.000595528821024444,0.00137425749918095,-8.69233720798175e-06,-0.00292013225647549,-0.00116041216150921,0.00274308266111545,0.00841689859448365,-0.000776509159932157,0.00859442856276604,0.00504544923589762,-0.00038688977122974,0.00377323432096785,0.00486773095526586,0.00170833225279421,0.00380383571176993,0.00762710025349652,0.00319201353927892
8,-0.00249360172679454,-0.00282448569225465,-0.0116868247539083,-0.00143728076009128,-0.00202831978152763,-0.00304961761986849,0.00189961482537711,0.00158139904901041,-0.00344107708366502,-0.00122241230627248,0.000690102376757038,-0.00246149670941051,-0.00256069436397307,-0.00193914376431446,-0.00327315660079683,0.00125723728793401,-0.00595118300271655,-0.00262057645934562,-0.0046890500307034,-0.00604725443028188,-0.00621661657449082,-0.00301506855014339,-0.00160610258878321,-0.00358235221759439,-0.00377348080111253,-0.00355817708981522,-0.00543196793327467,-0.00159761084938946,-0.00575964570026704,0.00378337567210181,0.0042523070797572,0.00182728807314302,-0.00416397961895778,-0.00191272810658955,-0.00264548389497453,-0.00268705657273202,-0.00152875357793396,0.00432206955359612,-0.0102096574731818,0.00246957312287798,-0.0013686477099121,0.00447590474088758,0.000656802670487999,0.0310118172297233,-0.00256249837919149,-0.000539581365159035,0.000147868747057166,-0.00246363461085277
9,-0.0060199071990293,-0.00488640284919458,0.0174660431348479,-0.00464336974841628,-0.00486787617160239,-0.00590914186652187,-0.00183489742557367,-0.00119223082620845,-0.00354722856182436,-0.00147072288901087,-0.00344773481184644,-0.00241807449623453,-0.00720493507378752,-0.00299779748384688,-0.00571303328363975,-0.000644965700902438,-0.00604009107419537,-0.00356523227990157,-0.00244153839225482,-0.000695194889846939,-0.00605747684848522,-0.000781998911484583,-0.00431084632290099,-0.0026918580914597,-0.000247427230961687,0.00177775646449118,0.00234850618886847,0.00298727339689822,0.000648386711485082,0.0072316563287768,0.00350215452469429,-0.000314901930541582,-0.00125475684707827,-0.00538138457341936,-0.00158232894722856,0.00172234723202321,0.000303582270795448,0.00224315634822237,-0.00839780276667342,0.00278366827364148,0.000774966935162679,-0.000544116383630717,0.00187985509180838,0.0424453606574133,-0.00395639376572189,-0.00330136197149767,-0.00120465085059854,-0.00405369057225346
10,-0.00500144009058879,-0.0070761247885896,0.0244798967268099,-0.00290632463090273,-0.00399135715730277,-0.00627470604578156,-0.00379763823928359,-0.00171900549243226,-0.00379491534419606,-0.00215357699154144,-0.0044845083356128,-0.00525137390596378,-0.00445110936914216,-0.00460729541516863,-0.0073837285037559,-0.000518647533675048,-0.00151386198072629,0.00200992394677198,0.00199456135854076,0.00200538561220733,-0.00529714260201404,-0.00401697812186097,-0.00565892494593739,-0.000737298950197794,-0.0023854743835226,-0.00620711414673207,0.00113555022316,-0.00140553008861606,-0.0021290592894667,-0.000999723303286009,-0.00199896421243352,-0.0044707505376897,-0.00372718413196174,-0.00652380603504832,-0.00463003979743352,-0.00202117975507095,-0.00222265591118048,0.0014601890371077,-0.00821805527594835,-0.0023116530609663,-0.00255768395835198,-0.000791186774546675,-0.000860252736726774,0.00224818596509419,-0.00159811726874311,0.00336584407376027,-0.00253698358858779,-0.00269214564722174
