Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean(background)
1,,0.0271680520787696,0.0352561942273129,0.0348779906261829,0.0329339888128935,0.0483805681277803,0.076234946376134,0.0445242175406019,0.0459788484733627,0.0415913962209356,0.0384849791462123,0.0354754774947179,0.0335514089622494,0.0705277977648517,0.0410657616374149,0.0367882328963764
2,,0.0195033449240481,0.0245972260202564,0.0226155660309971,0.0225376293595892,0.0247860657623476,0.0480677385510271,0.0278023790474233,0.0309545879905261,0.0259723789725042,0.0227182289679518,0.023767542995865,0.0235647918069466,0.0421625393113704,0.0259524995582084,0.0247371856794781
3,,0.0133479745077798,0.0165738178954777,0.0135144129697658,0.015532466289616,0.0117491085362617,0.0305016526856808,0.0170363476275731,0.0166488980665939,0.0156045225612271,0.0137204366923277,0.0180765259236624,0.0121021940213202,0.0205353594664789,0.0156788537017217,0.0150561975437218
4,,0.00994187818963363,0.0116807830360347,0.00990775182300037,0.0112539993732151,0.00693785163130027,0.0258205566488323,0.011308613862078,0.0121759440511599,0.0123246558876277,0.0088619924900695,0.0140283217949749,0.0128530535691764,0.0142210664690652,0.0112239412718487,0.00864184403835126
5,,0.00182599156914459,0.00392985768836447,0.00332678533799529,0.00614902682386182,0.0101667550550743,0.0125510790332869,0.00163645296398577,0.00503514344075045,0.00307996025724642,0.000227826793221088,0.00445884036202634,0.00175875655807193,0.00557276201877945,0.00483196022757914,0.00228311008240037
6,,0.0031436898986133,0.00480558166223408,0.00265149429560003,0.00761974338941477,0.0144783510686789,0.00274638012168228,0.00192154459877756,0.00202351014700484,0.00274713785154518,0.00106603519602594,0.00382294158928508,0.0079405248873948,0.00504545110063938,0.00217330632217957,-0.000305950974582733
7,,0.000771151115076275,0.00294005472939313,-0.00188908431412632,0.00234452612837665,0.00111392609513507,-0.000976806508782537,-0.00227793612254813,-0.00197112403529128,-0.0012783846408999,-0.00290496359911214,0.00189952200834666,0.00104761572119352,-0.00333919789057615,0.00115389440701838,-0.000931381220404002
8,,-0.00301868269029111,-0.00304547183489855,-0.00332594287359545,-0.00201695182106584,-0.00325444102049732,-0.0085540945511405,-0.00471560450142242,-0.00498030300834221,-0.00583191296743362,-0.00778807544225489,-0.00412865184501984,-0.00580835226626611,-0.00406522634862452,-0.00369918290605891,-0.00357635151196033
9,,-0.00434347532624615,-0.00155811850359853,-0.00396103922896396,-0.000637382605688918,-0.00573385310723601,-0.0114195662130536,-0.00376823690492506,-0.00515337806769124,-0.00441434842741679,-0.00905349593639432,-0.00588912124873438,-0.00138874297200438,-0.00564708403030556,-0.00319926280692885,-0.00311777991439897
10,,-0.00797695798736027,-0.00448832376643743,-0.00790103207319318,-0.00491183285920061,-0.00692256854986034,-0.0136260009639122,-0.00627920171356443,-0.00494903314467834,-0.0052846978100549,-0.0114507778650633,-0.00842807083026107,-0.00825896895827649,-0.00959298226042446,-0.00594913331146108,-0.00335358362912721
11,,-0.00815809313739073,-0.00546417588976935,-0.00699289605090086,-0.00576872094221194,-0.009579907285835,-0.0148214165618304,-0.00696872775897403,-0.0077419591943097,-0.00872784373162056,-0.00636855590067752,-0.00929240359596377,-0.0106330183449754,-0.0127307975288607,-0.00777691912650855,-0.0100983230517556
12,,-0.00523855568359392,-0.00810529864701747,-0.00712220926118376,-0.0055925027318715,-0.00876593751172839,-0.0129411530135647,-0.00845911847562063,-0.0087826820695652,-0.00634388319251484,-0.0044456592411301,-0.00763601147101347,-0.00741182162623164,-0.0125406382811887,-0.00699103941708796,-0.00692627062389918
13,,-0.00613363604094168,-0.00767441207790237,-0.00487201729983382,-0.00608274158705587,-0.00738999022268155,-0.0128361980382265,-0.00740311028138547,-0.00934026737106035,-0.00852948658895038,-0.003163826412219,-0.00271891840390478,-0.00877457152572556,-0.0124109876610822,-0.0065404471293337,-0.00589079104368256
14,,-0.0058529963324002,-0.0103877613133341,-0.00571701924300847,-0.00973728686801403,-0.00719881071684631,-0.0158470892442829,-0.00862468746604693,-0.00948689030736812,-0.00850067260401514,-0.00739358974301004,-0.00999164210316329,-0.00388750355610926,-0.0142305256341686,-0.00966156033635526,-0.00747942442398975
15,,-0.00647812450786124,-0.00900601051003865,-0.00831201259786743,-0.0106224975739613,-0.00873567212289904,-0.0178371426887919,-0.0082229510835186,-0.00869378111996269,-0.0087407056263452,-0.00575019416185133,-0.00853661494502365,-0.00887650695879456,-0.0107945214467614,-0.00998639770103341,-0.00638991856269587
16,,-0.00512845573227838,-0.00791908148016014,-0.00658770112511677,-0.0104098204235506,-0.008620250081028,-0.0144143162216271,-0.00598880395686324,-0.00699929993229209,-0.00568475284727167,-0.00151630317800386,-0.00453370453336061,-0.006386264140214,-0.0117757221443823,-0.00792507968024534,-0.00569206702856745
17,,-0.00644615406174708,-0.0115081546894615,-0.00700152369836871,-0.0135012089691835,-0.0130718940118865,-0.0209157971709175,-0.0115835249375454,-0.0119072141152602,-0.00981584309901575,-0.00845567418539637,-0.0095571976339527,-0.0113724900106631,-0.0134482676946728,-0.0108381659053615,-0.00974374842420332
18,,-0.0070464982314308,-0.0101375292361062,-0.00654740493635522,-0.0110338450503492,-0.0130586411552874,-0.0168581827806218,-0.00997648947316223,-0.0120706536933638,-0.0107918437597497,-0.0101915488505085,-0.0103831156100686,-0.00492722645653147,-0.0140101120727137,-0.00939960043321498,-0.00752577404850647
19,,-0.00638939960985548,-0.0104405625773364,-0.00855622577207507,-0.0100412143599571,-0.0141923713418086,-0.0191212232977685,-0.011491252376884,-0.0109145777454644,-0.0108046221356774,0.000299667611892758,-0.00949162448149526,-0.0106585716415485,-0.0163267066501573,-0.0121165266902935,-0.0108981437598205
20,,-0.00349105294166756,-0.0100486147330122,-0.00810789260895174,-0.0080153743848572,-0.011088289148983,-0.015753366162124,-0.00846991058797866,-0.00982576836474889,-0.00657105432012026,-0.00689650238207833,-0.0109420954669163,-0.00443430706901156,-0.0171522064872682,-0.0079969016820867,-0.00557706202273571
21,,-0.00859858507650339,-0.0120502947579792,-0.0122806289313429,-0.0125105351145579,-0.0141602261151637,-0.0143287009299089,-0.0113148013398299,-0.0115946972801542,-0.00945746394145886,-0.0100374498030707,-0.0129197424368761,-0.0120891859120139,-0.019745444107614,-0.011408579609258,-0.0121713100082615
22,,-0.00982396528779791,-0.0105295653768584,-0.0115621996516084,-0.0103369025434097,-0.0140049515116043,-0.0159859630493551,-0.00860022534470205,-0.00906147472031278,-0.00890390135551469,-0.00478668200554948,-0.0133972472051119,-0.0104998819664529,-0.0196805812611914,-0.0100852304433947,-0.00889004627763789
