Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
1,,0.0539914994345175,0.056300719040924,0.0613746714037044,0.0499393005355329,0.0495746465868305,0.0436492698126464,0.0616659688697772,0.062369818585444,0.0583156324187656,0.0628799068686028,0.0598512905543031,0.060774547745912,0.0570279200877702,0.0596656644706784,0.0621178684962906,0.0522588666233018,0.099903793209858
2,,0.0339964185219045,0.0363635240560123,0.0404808526299449,0.0330424637955676,0.0314165264266286,0.0249685674236356,0.0380256897201796,0.0387011126552228,0.0381953886973841,0.0412022121949599,0.0375209741284886,0.0371146515114571,0.0367575113245672,0.036922816170727,0.0392682746278917,0.032681851227247,0.0658559147600009
3,,0.0231383033823242,0.0244468212385293,0.0257317327636359,0.0230227472319323,0.0219954847396223,0.0192050848224019,0.0223611133599962,0.0245733534449834,0.027326782157478,0.0261640208637678,0.0256253007174831,0.0240582516302394,0.0238444302763745,0.0250217388100397,0.0225063840647119,0.0196267003534485,0.0420231116970445
4,,0.0102296831332143,0.0120834796392108,0.0123092045655021,0.00952680247274994,0.00940835527255662,0.00685476496261504,0.0120167563779021,0.012988590892587,0.0132150495748106,0.0118797658095573,0.0118898112520083,0.0117551055883227,0.0117080759077724,0.0132311977715878,0.0128054010766332,0.0088673371661186,0.0253159465869014
5,,0.00608617539893217,0.00778814497134615,0.00752794709478726,0.0051680643328226,0.00489640439435331,0.0033453844560089,0.00607661578532223,0.00573634116466418,0.00671042283748713,0.00542671982592998,0.00753377618186754,0.00565181806988363,0.00413499078176468,0.00716091140882227,0.00663487187610489,0.00452704203747158,0.0116270337165114
6,,0.00314322246971124,0.00419602881105224,0.00476421445275561,0.0041671689080985,0.0032085596893041,0.00447918431198937,-0.000159606581342592,0.00340997014804476,0.00513939010855741,0.0036675351796396,0.00324989076092174,0.00200143407942484,0.00234420427048653,0.0043790806325626,0.00269028861200882,0.000643620080261297,0.00445868464709764
7,,0.00213390648315534,0.00121210163027906,0.00124506155523523,0.00372591393590836,0.00273419810553221,0.0018471489320349,-0.00136243878856291,0.000188841048110178,0.00140933579308664,-0.00381507969836056,0.00010236231479517,0.000330755692257179,0.000175842289962869,0.00113668184698829,0.00135472105014948,-0.00057851565333138,0.00287125481345398
8,,-0.00418759890632641,-0.00278864150063035,-0.00476145072011362,-0.000794258949942222,-0.00388480073779768,-0.00150026016657403,-0.00478588430142041,-0.00394588314741996,-0.00232990584828423,-0.00412313968250366,-0.00346002661420187,-0.00400528243397559,-0.0069225765318505,-0.00406773665826585,-0.00401860890802853,-0.00264586675408176,-0.00401235347862466
9,,-0.00447445713408441,-0.00609566907677394,-0.00605119261972841,-0.00660590980317873,-0.00497693554694716,-0.00222913150256147,-0.0075431458225868,-0.00728945282717653,-0.00634476726666033,-0.00784418001728371,-0.00554334773470391,-0.00618778714784777,-0.00812003016288595,-0.00688641287527087,-0.00784930656607462,-0.00569549517342047,-0.0117786581804422
10,,-0.00606811395496208,-0.00957374980340772,-0.00889783724102101,-0.00675658223270704,-0.00485558723481949,-0.00646738334515486,-0.00953244524222029,-0.00875873978504148,-0.00675819693216818,-0.0100330272730368,-0.00864578265008372,-0.0084282344647431,-0.00854075711433084,-0.00759568760961522,-0.0088018043621293,-0.00909920030062254,-0.0120206878411773
11,,-0.00952103706686391,-0.0100679033492682,-0.012831550034846,-0.0102435727446489,-0.00899246151190071,-0.00853251879711928,-0.00798726848371429,-0.0108779036665773,-0.00938577213961801,-0.0104140488323716,-0.0103773742307607,-0.0103982829675303,-0.00940378675832031,-0.0111144272007781,-0.0107896258495477,-0.00888218554419014,-0.0171958514692446
12,,-0.00683306922898343,-0.0082718452691213,-0.00945058376942736,-0.00603550703425,-0.00743699678371812,-0.00365987893987003,-0.00997656790334778,-0.00768503008506325,-0.00920202562161457,-0.0116625024523196,-0.00917788631289592,-0.00748183861536491,-0.00778560617584012,-0.00866420539122492,-0.00780789361842002,-0.00682625627272589,-0.0141562436711912
13,,-0.0111784401605768,-0.0117499259957551,-0.0116247201144922,-0.0109969348922907,-0.0110443511533329,-0.0103681947544209,-0.011355198663931,-0.0104163968657096,-0.0130331405219871,-0.0127163918717562,-0.0108734030689756,-0.0092394309070673,-0.00821712099783477,-0.0107459727933266,-0.00944370505077483,-0.00896213834919158,-0.0174734737271463
14,,-0.0116140396916167,-0.0120160086742954,-0.0145819140414662,-0.0113520913333219,-0.0103603879395222,-0.00869449020511649,-0.0118455841022592,-0.0126956753516283,-0.01213278258377,-0.0137946018162568,-0.011964666513048,-0.0107555956861732,-0.0107630584476038,-0.0116671088119556,-0.0122287257805435,-0.0114406753042347,-0.0207835852636681
15,,-0.0127295994662312,-0.0125861858425959,-0.0124354150228216,-0.01289110257779,-0.0109891928296386,-0.00986878291309626,-0.0123452220960276,-0.0119139393419949,-0.0144204267329135,-0.0142566917924714,-0.0127042004172956,-0.0125228450783793,-0.0113671791983964,-0.0127079925130064,-0.012611795546348,-0.0104469761563602,-0.0206412148750004
16,,-0.0140788955745743,-0.0153800539672691,-0.0147661628842683,-0.0145700239353916,-0.0124453725751712,-0.0127572730223797,-0.0137608630783715,-0.0154929716752556,-0.0142734295185107,-0.0136324649824972,-0.0146702783578559,-0.0140003814554699,-0.0126617236643807,-0.0149371416780888,-0.014444318480062,-0.0112350823770882,-0.0260726452026695
17,,-0.0151944553491888,-0.0150569535718987,-0.015530795581897,-0.0133646444991648,-0.0142986922513035,-0.0107596256570807,-0.0131964571965219,-0.0167644700041771,-0.0167999441410586,-0.0133649392067942,-0.0152925690821618,-0.0139038104504312,-0.0135139654378202,-0.015452977848521,-0.0157177666204395,-0.012057454085674,-0.0261580674358701
18,,-0.0133245646793589,-0.0138595815184673,-0.014397665198664,-0.0117502970399324,-0.0101176913152669,-0.00976080197443133,-0.0115402497727341,-0.014277984383175,-0.0149532916351235,-0.0117435708691993,-0.0139487818659072,-0.0148019207972902,-0.0119065727258898,-0.0139883715789008,-0.0142165472679619,-0.0103213360342152,-0.0271404231176765
19,,-0.0110403232361007,-0.0113983167419696,-0.0130526486462086,-0.0109323609939214,-0.0107464962053831,-0.00828956168512347,-0.0131779520856417,-0.0135810149288032,-0.0141723689336088,-0.0123434771541094,-0.0147875215377977,-0.0141548950635317,-0.0112700883634476,-0.0154990346494524,-0.014185487557221,-0.0102413832292138,-0.0266919563933735
20,,-0.0124746143748907,-0.013545984075902,-0.0150517485906115,-0.0122991751760714,-0.0130852091300263,-0.011461501758402,-0.0115772599944947,-0.0142685658770348,-0.0165059497122529,-0.0114760450934962,-0.0143275675241803,-0.0158062592496915,-0.0155205093600959,-0.0141910215029992,-0.0152622241962393,-0.0101728522534983,-0.0279305787747817
21,,-0.0134945547402525,-0.0130613334828466,-0.0151070232434521,-0.0160767482306751,-0.014453135557648,-0.00849202594511998,-0.0130114060877189,-0.0159073859454226,-0.0136670660090991,-0.0114355108850564,-0.0171684599612286,-0.0166077985915118,-0.0157254789005433,-0.0165491297106896,-0.0167634435487169,-0.0112465042063742,-0.0319311866963414
22,,-0.0138557836196514,-0.0146673325068933,-0.0151346605698724,-0.01379513715496,-0.0120041059856158,-0.0081950783637917,-0.0119473622121009,-0.0150597203928082,-0.0149349169833232,-0.0115976477188158,-0.0157074295650324,-0.0155262033350796,-0.0143014799879607,-0.0132975195649291,-0.0146824429290756,-0.00768289346916923,-0.0286566677569865
