 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
1,106.602,136.190,119.814,140.858,113.749,137.154,147.541,141.657,152.366,154.013,195.633
2,104.483,133.641,117.079,137.318,111.528,134.004,143.778,137.837,148.303,150.632,189.044
3,103.521,132.081,115.669,135.211,110.344,131.975,141.576,135.942,146.291,148.080,184.638
4,102.253,130.592,114.036,132.944,109.042,130.423,139.622,133.927,143.834,146.049,182.048
5,101.730,129.654,112.925,131.747,108.270,129.297,138.856,133.031,142.770,144.573,179.486
6,101.095,128.873,112.003,130.738,107.451,128.390,137.748,132.003,141.656,143.508,178.041
7,100.718,128.163,111.294,130.236,106.975,127.740,136.970,130.766,140.770,142.787,177.213
8,100.285,127.573,111.183,129.659,106.501,127.422,136.550,130.627,140.305,143.454,176.274
9,99.932,127.179,110.790,129.443,106.624,126.791,136.317,130.241,139.686,141.764,175.955
10,99.761,127.017,110.184,128.897,106.220,126.517,135.841,129.771,139.124,140.988,175.742
11,99.402,126.736,109.972,128.653,105.914,126.021,135.657,129.678,139.051,140.391,174.856
12,99.063,126.551,109.762,128.217,105.899,125.773,135.126,129.146,138.572,141.229,175.090
13,99.551,126.636,109.647,128.507,105.809,125.907,134.901,129.245,138.786,140.878,174.458
14,99.106,126.303,109.616,128.044,105.807,125.551,134.825,129.181,138.145,140.065,175.159
15,98.916,126.181,109.187,128.055,105.454,125.258,134.653,128.994,138.198,139.702,174.187
16,98.805,126.301,109.443,128.023,105.579,125.392,134.629,129.154,138.171,139.722,174.061
17,99.050,126.584,109.609,128.265,105.588,125.598,134.691,129.028,138.068,140.006,174.459
18,99.037,126.536,109.353,128.184,105.648,125.400,135.014,128.941,138.106,139.332,174.455
19,98.861,126.214,109.327,128.034,105.356,125.398,134.610,128.973,137.993,139.285,174.252
20,99.071,126.514,109.297,127.889,105.709,125.457,134.453,128.647,137.877,139.200,174.549
21,99.084,126.354,109.452,128.183,105.797,125.410,134.847,129.024,138.134,139.644,174.209
22,98.785,126.068,108.999,127.994,105.681,125.080,134.220,128.424,137.780,139.294,173.854
23,98.785,126.170,109.366,128.116,105.628,125.208,134.303,128.696,137.804,140.237,174.226
24,98.633,125.993,109.038,128.415,105.131,125.145,133.978,128.393,137.560,139.337,174.008
25,98.489,125.749,109.081,128.050,105.143,125.003,134.186,128.666,137.727,139.744,173.449
26,98.564,125.991,109.045,127.939,105.115,124.996,134.554,128.660,137.620,140.542,173.788
27,98.515,125.931,108.955,128.113,105.043,125.035,134.353,128.323,137.590,139.507,173.793
28,98.341,125.575,108.776,127.748,104.870,124.857,134.340,128.293,137.411,139.712,173.212
29,98.593,125.885,108.810,127.981,105.213,124.907,134.110,128.505,137.435,140.244,173.873
30,98.460,125.878,108.861,127.931,105.074,124.855,133.862,128.140,137.322,139.865,174.013
31,98.125,125.471,108.686,127.165,104.871,124.467,133.753,128.077,136.875,140.137,173.379
32,98.448,125.660,108.811,127.449,104.775,124.697,134.167,128.580,137.289,140.501,173.105
33,98.324,125.657,108.758,127.350,104.902,124.649,133.807,128.053,137.328,140.933,173.294
34,98.146,125.459,108.797,127.398,104.691,124.414,133.787,127.870,136.812,139.376,172.964
35,98.449,125.575,108.807,127.510,104.924,124.699,133.522,127.803,136.754,138.864,173.126
36,98.272,125.504,108.892,127.601,104.786,124.647,133.722,127.933,136.911,139.470,173.413
37,98.226,125.495,108.966,127.647,104.835,124.645,133.511,127.955,136.773,140.130,173.080
38,98.192,125.236,108.748,127.495,104.677,124.473,133.526,127.838,136.609,139.077,173.010
39,97.986,125.156,108.799,127.052,104.587,124.156,133.233,127.756,136.407,138.409,173.088
40,98.152,125.430,108.866,127.187,104.690,124.512,133.350,127.855,136.848,138.207,173.088
41,97.996,125.269,108.514,127.040,104.646,124.261,133.427,127.608,136.833,138.880,172.486
42,98.081,125.488,108.547,127.276,105.382,124.188,133.039,127.475,136.918,138.582,172.585
43,97.897,125.359,108.241,126.964,104.705,124.109,132.898,127.442,136.898,138.278,172.533
44,98.179,125.371,108.619,127.276,105.002,124.450,133.185,127.418,136.721,139.260,173.216
45,98.130,125.472,108.481,127.065,104.605,124.174,133.031,127.609,136.766,139.417,172.374
46,98.113,125.300,108.185,126.967,104.636,124.169,132.602,127.140,136.354,139.186,172.692
47,97.866,125.405,108.392,127.017,104.762,124.396,132.981,127.356,136.308,138.531,172.562
48,97.901,125.193,108.277,127.102,104.432,123.951,132.783,127.202,136.264,138.151,172.452
49,98.110,125.137,108.443,126.905,104.566,124.344,133.216,127.515,136.659,138.229,172.129
50,97.849,125.417,108.059,126.654,104.429,123.997,132.915,127.167,136.486,137.667,172.522
51,98.120,125.455,108.551,126.861,104.752,124.322,133.022,127.473,136.620,138.049,172.586
52,97.764,125.055,108.618,126.610,104.363,124.050,132.769,127.252,136.270,137.569,172.565
53,98.035,125.326,108.634,126.610,104.431,124.181,132.696,127.279,136.296,137.571,172.442
54,97.631,124.989,108.300,126.535,104.378,123.681,132.545,127.101,136.127,138.280,172.086
55,98.047,125.098,108.459,126.433,104.294,124.022,132.774,127.189,136.097,137.927,172.417
56,97.496,124.950,108.155,126.267,104.163,123.578,132.763,127.074,136.302,137.554,171.688
57,97.820,124.977,108.184,126.179,104.587,123.517,132.746,126.911,136.145,138.496,171.799
58,97.610,124.929,108.308,126.454,104.178,123.518,132.162,126.684,135.850,137.556,172.126
59,97.557,124.852,108.226,126.186,104.479,123.429,132.360,126.831,136.020,137.384,171.496
60,97.510,124.834,108.204,126.177,104.112,123.294,132.553,126.752,135.911,137.942,171.724
61,97.646,124.932,108.149,126.180,104.064,123.440,132.397,126.879,136.152,139.571,171.751
62,97.719,124.907,108.310,126.400,104.129,123.236,132.463,126.877,135.891,138.156,172.167
63,97.602,124.856,108.200,126.158,103.984,123.303,132.667,126.840,136.043,140.526,171.692
64,97.366,124.643,107.929,125.893,103.861,123.261,132.060,126.545,135.811,141.957,171.850
65,97.834,124.939,108.247,125.987,104.576,123.393,132.414,126.511,135.765,142.344,172.414
66,97.515,124.614,107.659,125.938,104.020,123.177,132.328,126.577,135.681,141.335,171.428
67,97.523,124.767,107.920,125.981,104.394,123.108,132.351,126.681,135.869,143.866,171.660
68,97.324,124.681,107.846,125.886,104.062,123.317,132.188,126.649,135.466,142.321,171.709
69,97.624,124.868,107.941,126.081,104.312,123.850,131.881,126.378,135.843,146.889,172.660
70,97.566,124.676,107.778,125.953,104.009,123.533,131.948,126.632,135.627,147.938,171.904
71,97.819,124.954,108.000,126.115,104.329,123.609,131.993,126.532,135.763,144.578,171.856
72,97.479,124.385,107.878,125.996,103.927,123.223,131.858,126.261,135.286,141.377,171.775
73,97.522,124.704,107.967,126.136,104.097,123.437,132.067,126.462,135.585,142.524,171.870
74,97.341,124.583,107.714,125.711,104.305,123.033,131.727,126.250,135.232,139.645,171.650
75,97.475,124.797,107.861,126.256,104.191,123.146,131.930,126.425,135.505,138.397,171.868
76,97.602,124.610,107.815,126.234,104.076,123.250,131.891,126.242,135.417,137.969,171.580
77,97.529,124.652,107.926,126.205,104.145,123.277,132.234,126.675,135.314,137.435,171.669
78,97.562,124.807,108.145,133.363,104.025,122.914,132.194,126.305,135.229,137.167,172.171
79,97.627,124.625,107.896,131.214,104.042,123.015,132.069,126.330,135.456,137.237,171.438
80,97.607,124.702,108.024,127.212,104.116,123.082,132.063,126.130,135.331,137.049,171.653
81,97.270,124.377,107.940,131.800,104.002,123.023,132.022,126.419,135.407,137.256,171.236
82,97.589,124.364,108.040,139.595,103.851,123.164,132.434,126.363,135.349,136.913,171.584
83,97.606,124.583,108.183,138.635,104.106,123.307,132.519,126.431,135.396,137.019,171.419
84,97.457,124.631,108.116,135.276,104.451,123.431,132.047,126.389,135.666,137.203,171.554
85,97.252,124.508,107.738,140.595,104.029,123.132,131.784,126.095,135.491,136.581,171.429
86,97.581,124.449,108.062,154.910,104.042,123.145,131.999,126.486,135.364,136.801,171.817
87,97.257,124.337,107.894,147.526,104.026,123.134,132.146,126.223,135.124,136.736,171.490
88,97.002,124.327,107.697,149.441,104.388,122.671,132.043,125.955,134.890,136.185,171.120
89,97.472,124.522,108.007,145.366,104.456,123.218,132.344,126.500,135.551,136.521,171.110
90,97.584,124.751,108.048,136.446,104.282,123.009,132.544,126.425,135.413,136.742,171.408
91,97.468,124.503,108.411,143.283,104.106,123.112,131.755,126.090,134.598,135.949,172.319
92,97.383,124.338,108.208,143.965,104.181,123.219,132.049,126.157,135.002,137.435,171.382
93,97.607,124.434,108.284,146.797,104.129,123.073,132.418,126.517,135.399,136.975,170.910
94,97.439,124.334,108.262,137.511,104.480,123.197,131.757,125.958,134.569,136.226,171.687
95,97.191,124.305,108.123,138.079,105.185,122.936,131.742,126.093,134.730,136.391,171.571
96,97.234,124.159,107.776,149.972,106.575,122.903,131.524,125.625,134.515,135.978,171.580
97,97.809,124.510,108.330,151.956,104.803,123.007,132.213,126.425,134.901,136.183,171.753
98,97.925,124.901,108.864,141.889,104.771,123.435,132.118,126.468,134.879,136.689,172.106
99,97.541,124.731,108.662,142.843,104.584,123.227,131.977,126.423,134.984,136.431,172.131
100,97.624,124.628,108.906,144.494,105.492,123.143,132.195,126.386,134.912,136.376,171.592
101,97.643,124.392,108.830,151.802,105.216,123.130,132.971,126.123,134.996,136.512,171.437
102,97.497,124.449,108.857,154.334,104.289,122.997,132.888,125.909,134.954,136.597,171.396
103,97.494,124.683,109.225,154.309,105.985,123.021,136.211,126.045,134.687,136.420,171.749
104,97.622,124.501,109.203,158.414,104.502,123.122,136.490,126.489,134.981,136.350,171.514
105,97.494,124.421,109.063,159.239,104.264,123.109,137.863,126.063,134.746,137.605,171.437
106,97.897,124.765,109.995,160.646,105.326,123.133,137.478,126.326,134.914,137.039,171.853
107,97.800,124.770,110.358,160.575,105.343,123.101,138.127,126.397,134.841,136.924,171.708
108,97.876,124.879,110.410,162.210,106.622,123.180,138.231,126.241,134.828,137.074,171.892
109,98.019,124.785,110.394,163.614,105.860,123.269,140.094,126.582,135.260,136.915,171.313
110,97.956,124.853,110.874,163.130,113.292,123.416,140.700,126.361,134.951,136.711,171.615
111,98.278,124.779,111.029,163.269,108.786,123.555,141.539,126.307,134.874,137.738,172.098
112,98.105,124.615,111.154,163.140,108.586,123.224,141.527,126.391,134.719,136.825,171.571
113,98.218,125.020,111.218,162.664,108.830,123.163,142.275,126.263,134.864,137.885,171.861
114,98.536,124.913,111.578,162.645,106.180,123.350,142.328,126.225,134.925,137.252,172.150
115,99.111,125.380,113.436,163.108,106.072,123.412,142.439,126.142,134.978,136.774,172.139
